Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Bobby Jones;27;PHI;16.7;12;11.8;2.1;2.2
Phil Smith;26;GSW;16.1;5;16.2;2.1;0.5
Gus Williams;25;SEA;21.1;5.7;21.9;3.2;0.7
Eddie Jordan;24;NJN;13.8;5;23.1;3.9;1
Robert Reid;23;HOU;13.9;11.6;13.2;1.5;1.1
Leon Douglas;24;DET;12.1;15.6;4.3;0.8;1.3
Steve Hawes;28;ATL;15;14.5;11.7;1.7;1.2
Tom Boswell;25;DEN;14.6;12.8;14.7;1;1.2
Bill Robinzine;26;KCK;16.4;15.9;6.5;2.2;0.4
Caldwell Jones;28;PHI;13.4;17.9;9.1;0.8;3.8
James Silas;29;SAS;16;4.4;16.2;1.5;0.5
Lonnie Shelton;23;SEA;14.9;11.4;7.5;1.6;1.8
Mychal Thompson;24;POR;17;15.7;12.1;1.5;3.5
Kent Benson;24;MIL;17.3;15.1;12.1;1.9;2
Gail Goodrich;35;NOJ;13.1;4.2;23.5;1.9;0.3
Billy Paultz;30;SAS;15.5;15.5;10.5;0.7;2.9
Mike Gale;28;SAS;12.3;4.6;20.6;3.1;0.9
Tom Henderson;27;WSB;13.9;4;24.5;1.9;0.2
George Johnson;30;NJN;11.1;15.7;5.5;1.4;6.6
